value_id,product_super_attribute_id,store_id,use_default,"value"
53777,78,0,0,"Taille ISO"
53778,69,0,0,"Taille ISO"
53779,73,0,0,"Taille ISO"
53780,77,0,0,"Taille ISO"
53781,74,0,0,"Taille ISO"
53782,66,0,0,"Taille ISO"
53783,72,0,0,"Taille ISO"
53784,70,0,0,"Taille ISO"
53785,76,0,0,"Taille ISO"
53786,75,0,0,"Taille ISO"
53787,53204,0,0,"Taille ISO"
53788,71,0,0,"Taille ISO"
53789,19091,0,0,"Tour de hanches à plat Français"
53790,169,0,0,"Taille ISO"
53791,19094,0,0,"Taille de robe/jupe Ouest-européenne"
53792,19097,0,0,"Taille de robe/jupe Ouest-européenne"
53793,19096,0,0,"Taille de robe/jupe Ouest-européenne"
53794,19095,0,0,"Taille de robe/jupe Ouest-européenne"
53795,19093,0,0,"Taille de robe/jupe Ouest-européenne"
53796,19089,0,0,"Taille de robe/jupe Ouest-européenne"
53797,19101,0,0,"Taille de robe/jupe Ouest-européenne"
53798,19087,0,0,"Taille de robe/jupe Ouest-européenne"
53799,19100,0,0,"Taille de robe/jupe Ouest-européenne"
53800,19103,0,0,"Taille de robe/jupe Ouest-européenne"
53801,19099,0,0,"Taille de robe/jupe Ouest-européenne"
53802,19086,0,0,"Taille de robe/jupe Ouest-européenne"
53803,19085,0,0,"Taille de robe/jupe Ouest-européenne"
53804,19084,0,0,"Taille de robe/jupe Ouest-européenne"
53805,53215,0,0,"Taille Française haut"
53806,33,0,0,"Taille ISO"
53807,34,0,0,"Taille ISO"
53808,35,0,0,"Taille ISO"
53809,19590,0,0,"Taille ISO"
53810,53552,0,0,"Taille ISO"
53811,19105,0,0,"Taille de robe/jupe Ouest-européenne"
53812,19222,0,0,"Taille Française haut"
53813,19219,0,0,"Taille Française haut"
53814,19635,0,0,"Taille de robe/jupe Ouest-européenne"
53815,19113,0,0,"Taille de ceinture"
53816,19116,0,0,"Taille ISO"
53817,52,0,0,"Taille ISO"
53818,16444,0,0,"Taille ISO"
53819,53422,0,0,"Taille de robe/jupe Ouest-européenne"
53820,173,0,0,"Taille ISO"
53821,177,0,0,"Taille ISO"
53822,19198,0,0,"Taille ISO"
53823,18806,0,0,"Taille ISO"
53824,4061,0,0,"Taille ISO"
53825,164,0,0,"Taille ISO"
53826,18796,0,0,"Taille ISO"
53827,18,0,0,"Taille ISO"
53828,16,0,0,"Taille ISO"
53829,52992,0,0,"Taille ISO"
53830,190,0,0,"Taille ISO"
53831,53210,0,0,"Taille de robe/jupe Ouest-européenne"
53832,53421,0,0,"Taille ISO"
53833,53380,0,0,"Taille ISO"
53834,53551,0,0,"Taille ISO"
53835,53424,0,0,"Taille ISO"
53836,4067,0,0,"Taille ISO"
